run_number,production_date,prod_line,species,product_type,shift_code,status,giveaway_check,giveaway_pct,reject_count
003992,2026-01-11 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,OK,,
003990,2026-01-11 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,OK,,
003991,2026-01-11 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,OK,,
003989,2026-01-11 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,OK,,
003993,2026-01-11 00:00:00.000000,Line 1,salmon,,LATE,complete,OK,,
003988,2026-01-11 00:00:00.000000,Line 1,hake,fillet,LATE,complete,OK,,
003978,2026-01-12 00:00:00.000000,Line 1,salmon,portion,LATE,complete,OK,,
003981,2026-01-12 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,OK,,
003986,2026-01-12 00:00:00.000000,Line 2,tuna,steak,DAY,complete,OK,,
003984,2026-01-12 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,OK,,
003987,2026-01-12 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,OK,,
003985,2026-01-12 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,OK,,
003980,2026-01-12 00:00:00.000000,Line 1,salmon,portion,LATE,complete,OK,,
003983,2026-01-12 00:00:00.000000,Line 1,salmon,portion,LATE,complete,OK,,
003982,2026-01-12 00:00:00.000000,Line 1,salmon,portion,LATE,complete,OK,,
003979,2026-01-12 00:00:00.000000,Line 3,cod,fillet,NIGHT,complete,OK,,
003973,2026-01-13 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,633.4,2.0
003977,2026-01-13 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,590.7,0.0
003972,2026-01-13 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,760.1,3.0
003974,2026-01-13 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,630.7,2.0
003975,2026-01-13 00:00:00.000000,Line 3,pollock,fillet,DAY,complete,WARNING: giveaway > 3%,359.5,2.0
003976,2026-01-13 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,544.9,0.0
003969,2026-01-14 00:00:00.000000,Line 2,cod,loin,NIGHT,complete,WARNING: giveaway > 3%,886.5,3.0
003968,2026-01-14 00:00:00.000000,Line 1,hake,fillet,NIGHT,complete,WARNING: giveaway > 3%,330.1,1.0
003970,2026-01-14 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,437.8,2.0
