production_date,shift_code,prod_line,species,product_type,run_count,complete
2026-01-11 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-11 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-01-11 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-01-11 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-11 00:00:00.000000,LATE,Smoke Line,haddock,smoked,2,1
2026-01-12 00:00:00.000000,DAY,Line 2,tuna,steak,1,1
2026-01-12 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-01-12 00:00:00.000000,LATE,Line 1,salmon,portion,4,1
2026-01-12 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-12 00:00:00.000000,NIGHT,Line 2,seabass,fillet,2,1
2026-01-12 00:00:00.000000,NIGHT,Line 3,cod,fillet,1,1
2026-01-13 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-13 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-01-13 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-01-13 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-13 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-13 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-01-14 00:00:00.000000,DAY,VA Line,,,1,1
2026-01-14 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-14 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-01-14 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-01-14 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-01-14 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-01-14 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-01-14 00:00:00.000000,NIGHT,Line 2,cod,loin,1,1
2026-01-14 00:00:00.000000,NIGHT,Smoke Line,haddock,smoked,1,1
2026-01-14 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-14 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-15 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-01-15 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-01-15 00:00:00.000000,LATE,Line 2,cod,loin,1,1
2026-01-15 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-01-15 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-01-15 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-01-15 00:00:00.000000,NIGHT,Line 3,pollock,fillet,1,1
2026-01-15 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
2026-01-16 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-01-16 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-16 00:00:00.000000,DAY,VA Line,,,1,1
2026-01-16 00:00:00.000000,LATE,Line 1,salmon,portion,1,1
2026-01-16 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-16 00:00:00.000000,LATE,VA Line,,,1,1
2026-01-16 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-16 00:00:00.000000,NIGHT,VA Line,,,1,1
2026-01-17 00:00:00.000000,DAY,Line 1,salmon,,1,1
2026-01-17 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-17 00:00:00.000000,DAY,VA Line,cod,breaded,1,1
2026-01-17 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-01-17 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-17 00:00:00.000000,LATE,VA Line,,,1,1
2026-01-18 00:00:00.000000,DAY,Line 2,cod,loin,1,1
2026-01-18 00:00:00.000000,DAY,Line 2,tuna,steak,1,1
2026-01-18 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-01-18 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-18 00:00:00.000000,LATE,Line 2,cod,loin,1,1
2026-01-18 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-01-18 00:00:00.000000,NIGHT,Line 3,cod,fillet,1,1
2026-01-18 00:00:00.000000,NIGHT,Line 3,pollock,fillet,1,1
2026-01-18 00:00:00.000000,NIGHT,VA Line,,,2,1
2026-01-18 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
