production_date,shift_code,prod_line,runs,total_packs,total_weight_kg,avg_giveaway_pct,total_downtime_mins
2026-01-11 00:00:00.000000,DAY,Smoke Line,1,,,,
2026-01-11 00:00:00.000000,LATE,Line 1,2,,,,
2026-01-11 00:00:00.000000,LATE,Line 3,1,,,,
2026-01-11 00:00:00.000000,LATE,Smoke Line,2,,,,
2026-01-12 00:00:00.000000,DAY,Line 2,1,,,,
2026-01-12 00:00:00.000000,DAY,Smoke Line,1,,,,
2026-01-12 00:00:00.000000,LATE,Line 1,4,,,,
2026-01-12 00:00:00.000000,LATE,Line 3,1,,,,
2026-01-12 00:00:00.000000,NIGHT,Line 2,2,,,,
2026-01-12 00:00:00.000000,NIGHT,Line 3,1,,,,
2026-01-13 00:00:00.000000,DAY,Line 1,1,16.0,3.3,544.9,0.0
2026-01-13 00:00:00.000000,DAY,Line 3,2,47.0,9.4,495.1,19.0
2026-01-13 00:00:00.000000,DAY,Smoke Line,1,18.0,3.6,590.7,13.0
2026-01-13 00:00:00.000000,DAY,VA Line,1,19.0,4.0,633.4,4.0
2026-01-13 00:00:00.000000,NIGHT,Line 2,1,12.0,2.3,760.1,14.0
2026-01-14 00:00:00.000000,DAY,VA Line,2,34.0,7.0,809.35,15.0
2026-01-14 00:00:00.000000,LATE,Line 1,2,57.0,11.7,643.3,27.0
2026-01-14 00:00:00.000000,LATE,Line 3,1,16.0,3.3,578.2,18.0
2026-01-14 00:00:00.000000,LATE,Smoke Line,1,21.0,4.2,437.8,7.0
2026-01-14 00:00:00.000000,NIGHT,Line 1,1,24.0,5.0,330.1,7.0
2026-01-14 00:00:00.000000,NIGHT,Line 2,1,22.0,4.3,886.5,16.0
2026-01-14 00:00:00.000000,NIGHT,Smoke Line,2,32.0,6.5,480.65,6.0
2026-01-14 00:00:00.000000,NIGHT,VA Line,1,22.0,4.4,246.0,19.0
2026-01-15 00:00:00.000000,DAY,Line 3,1,12.0,2.4,430.9,12.0
2026-01-15 00:00:00.000000,LATE,Line 1,1,16.0,3.3,571.2,11.0
2026-01-15 00:00:00.000000,LATE,Line 2,2,41.0,8.0,444.8,25.0
2026-01-15 00:00:00.000000,NIGHT,Line 1,1,27.0,5.5,264.7,20.0
2026-01-15 00:00:00.000000,NIGHT,Line 2,1,26.0,5.0,574.2,16.0
2026-01-15 00:00:00.000000,NIGHT,Line 3,1,29.0,5.5,703.3,10.0
2026-01-15 00:00:00.000000,NIGHT,VA Line,1,24.0,4.8,365.4,8.0
2026-01-16 00:00:00.000000,DAY,Line 1,1,21.0,4.1,756.1,11.0
2026-01-16 00:00:00.000000,DAY,Smoke Line,1,18.0,3.5,802.8,8.0
2026-01-16 00:00:00.000000,DAY,VA Line,1,17.0,3.5,1113.9,8.0
2026-01-16 00:00:00.000000,LATE,Line 1,1,21.0,4.3,476.4,19.0
2026-01-16 00:00:00.000000,LATE,Line 3,1,29.0,5.9,638.2,5.0
2026-01-16 00:00:00.000000,LATE,VA Line,1,13.0,2.7,1279.2,2.0
2026-01-16 00:00:00.000000,NIGHT,Smoke Line,1,21.0,4.3,590.3,9.0
2026-01-16 00:00:00.000000,NIGHT,VA Line,1,21.0,4.4,867.9,17.0
2026-01-17 00:00:00.000000,DAY,Line 1,1,22.0,4.2,196.8,14.0
2026-01-17 00:00:00.000000,DAY,Smoke Line,1,26.0,5.2,312.4,18.0
2026-01-17 00:00:00.000000,DAY,VA Line,1,24.0,4.6,627.9,15.0
2026-01-17 00:00:00.000000,LATE,Line 2,1,26.0,5.4,161.8,1.0
2026-01-17 00:00:00.000000,LATE,Line 3,1,20.0,3.9,820.3,4.0
2026-01-17 00:00:00.000000,LATE,VA Line,1,13.0,2.6,513.7,9.0
2026-01-18 00:00:00.000000,DAY,Line 2,2,39.0,7.7,971.2,12.0
2026-01-18 00:00:00.000000,DAY,Line 3,1,29.0,5.5,350.4,17.0
2026-01-18 00:00:00.000000,DAY,VA Line,1,30.0,6.1,121.7,3.0
2026-01-18 00:00:00.000000,LATE,Line 2,1,19.0,3.8,622.4,14.0
